airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
CHI,shanghai,05/27/2011,shanghai,CHI,06/04/2011,1250,1250,1258,1559
CHI,shanghai,05/27/2011,shanghai,CHI,06/05/2011,1239,1239,1239,1239
CHI,shanghai,05/27/2011,shanghai,CHI,06/06/2011,1189,1189,1189,1189
CHI,shanghai,05/27/2011,shanghai,CHI,06/07/2011,1189,1189,1189,1189
CHI,shanghai,05/27/2011,shanghai,CHI,06/08/2011,1189,1189,1189,1189
CHI,shanghai,05/28/2011,shanghai,CHI,06/05/2011,1239,1239,1239,1239
CHI,shanghai,05/28/2011,shanghai,CHI,06/06/2011,1189,1189,1189,1189
CHI,shanghai,05/28/2011,shanghai,CHI,06/07/2011,1189,1189,1189,1196
CHI,shanghai,05/28/2011,shanghai,CHI,06/08/2011,1189,1189,1189,1214
CHI,shanghai,05/28/2011,shanghai,CHI,06/09/2011,1189,1189,1189,1189
CHI,shanghai,05/29/2011,shanghai,CHI,06/06/2011,1139,1139,1139,1147
CHI,shanghai,05/29/2011,shanghai,CHI,06/07/2011,1139,1139,1139,1147
CHI,shanghai,05/29/2011,shanghai,CHI,06/08/2011,1139,1139,1139,1147
CHI,shanghai,05/29/2011,shanghai,CHI,06/09/2011,1139,1139,1139,1147
CHI,shanghai,05/29/2011,shanghai,CHI,06/10/2011,1196,1196,1196,1204
CHI,shanghai,05/30/2011,shanghai,CHI,06/07/2011,1232,1325,1329,1408
CHI,shanghai,05/30/2011,shanghai,CHI,06/08/2011,1232,1318,1329,1409
CHI,shanghai,05/30/2011,shanghai,CHI,06/09/2011,1232,1318,1436,1437
CHI,shanghai,05/30/2011,shanghai,CHI,06/10/2011,1386,1387,1538,1559
CHI,shanghai,05/30/2011,shanghai,CHI,06/11/2011,1304,1375,1386,1387
CHI,shanghai,05/31/2011,shanghai,CHI,06/08/2011,1139,1409,1409,1409
CHI,shanghai,05/31/2011,shanghai,CHI,06/09/2011,1139,1318,1437,1445
CHI,shanghai,05/31/2011,shanghai,CHI,06/10/2011,1305,1375,1386,1387
CHI,shanghai,05/31/2011,shanghai,CHI,06/11/2011,1196,1313,1387,1387
CHI,shanghai,05/31/2011,shanghai,CHI,06/12/2011,1189,1305,1386,1542
CHI,shanghai,06/01/2011,shanghai,CHI,06/09/2011,1492,1492,1492,1492
CHI,shanghai,06/01/2011,shanghai,CHI,06/10/2011,1542,1542,1542,1542
CHI,shanghai,06/01/2011,shanghai,CHI,06/11/2011,1542,1542,1542,1542
CHI,shanghai,06/01/2011,shanghai,CHI,06/12/2011,1542,1542,1542,1542
CHI,shanghai,06/01/2011,shanghai,CHI,06/13/2011,1492,1492,1492,1492
CHI,shanghai,06/02/2011,shanghai,CHI,06/10/2011,1542,1542,1542,1739
CHI,shanghai,06/02/2011,shanghai,CHI,06/11/2011,1542,1542,1542,1542
CHI,shanghai,06/02/2011,shanghai,CHI,06/12/2011,1542,1542,1542,1542
CHI,shanghai,06/02/2011,shanghai,CHI,06/13/2011,1492,1492,1492,1554
CHI,shanghai,06/02/2011,shanghai,CHI,06/14/2011,1492,1492,1492,1492
CHI,shanghai,06/03/2011,shanghai,CHI,06/11/2011,1592,1592,1592,1592
CHI,shanghai,06/03/2011,shanghai,CHI,06/12/2011,1592,1592,1592,1592
CHI,shanghai,06/03/2011,shanghai,CHI,06/13/2011,1542,1542,1542,1567
CHI,shanghai,06/03/2011,shanghai,CHI,06/14/2011,1542,1542,1542,1567
CHI,shanghai,06/03/2011,shanghai,CHI,06/15/2011,1542,1542,1542,1542
CHI,shanghai,06/04/2011,shanghai,CHI,06/12/2011,1592,1592,1592,1592
CHI,shanghai,06/04/2011,shanghai,CHI,06/13/2011,1542,1542,1542,1679
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
CHI,shanghai,06/04/2011,shanghai,CHI,06/14/2011,error
