airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
NYC,xian,05/27/2011,xian,NYC,06/04/2011,4917,5159,5814,5917
NYC,xian,05/27/2011,xian,NYC,06/05/2011,4917,5159,5814,5917
NYC,xian,05/27/2011,xian,NYC,06/06/2011,4483,5159,5164,5164
NYC,xian,05/27/2011,xian,NYC,06/07/2011,4917,5159,5814,5917
NYC,xian,05/27/2011,xian,NYC,06/08/2011,4917,5159,5814,5917
NYC,xian,05/28/2011,xian,NYC,06/05/2011,4648,5345,5626,5707
NYC,xian,05/28/2011,xian,NYC,06/06/2011,4498,5164,5164,5164
NYC,xian,05/28/2011,xian,NYC,06/07/2011,4504,5626,5707,5777
NYC,xian,05/28/2011,xian,NYC,06/08/2011,4504,5596,5707,5777
NYC,xian,05/28/2011,xian,NYC,06/09/2011,4504,5596,5701,5777
NYC,xian,05/29/2011,xian,NYC,06/06/2011,5164,5164,5166,5814
NYC,xian,05/29/2011,xian,NYC,06/07/2011,4695,5166,5814,5919
NYC,xian,05/29/2011,xian,NYC,06/08/2011,5166,5814,5919,6076
NYC,xian,05/29/2011,xian,NYC,06/09/2011,4695,5166,5814,5919
NYC,xian,05/29/2011,xian,NYC,06/10/2011,5166,5814,5919,6076
NYC,xian,05/30/2011,xian,NYC,06/07/2011,4498,5767,5814,5919
NYC,xian,05/30/2011,xian,NYC,06/08/2011,4498,5166,5814,5919
NYC,xian,05/30/2011,xian,NYC,06/09/2011,4498,5166,5814,5919
NYC,xian,05/30/2011,xian,NYC,06/10/2011,4883,5166,5814,5919
NYC,xian,05/30/2011,xian,NYC,06/11/2011,4555,5166,5814,5919
NYC,xian,05/31/2011,xian,NYC,06/08/2011,4892,5166,5814,5919
NYC,xian,05/31/2011,xian,NYC,06/09/2011,4458,4892,5166,5814
NYC,xian,05/31/2011,xian,NYC,06/10/2011,4458,5166,5814,5919
NYC,xian,05/31/2011,xian,NYC,06/11/2011,4354,4458,4892,5166
NYC,xian,05/31/2011,xian,NYC,06/12/2011,2712,4458,4892,5166
NYC,xian,06/01/2011,xian,NYC,06/09/2011,4502,4659,4707,4943
NYC,xian,06/01/2011,xian,NYC,06/10/2011,4659,5009,5032,5812
NYC,xian,06/01/2011,xian,NYC,06/11/2011,4458,4502,4659,4707
NYC,xian,06/01/2011,xian,NYC,06/12/2011,4659,4707,4998,5009
NYC,xian,06/01/2011,xian,NYC,06/13/2011,4659,4707,4768,5009
NYC,xian,06/02/2011,xian,NYC,06/10/2011,4249,4277,4354,5541
NYC,xian,06/02/2011,xian,NYC,06/11/2011,4277,4342,4354,4792
NYC,xian,06/02/2011,xian,NYC,06/12/2011,4026,4792,5159,5812
NYC,xian,06/02/2011,xian,NYC,06/13/2011,4792,5159,5812,5814
NYC,xian,06/02/2011,xian,NYC,06/14/2011,4026,4792,5159,5812
NYC,xian,06/03/2011,xian,NYC,06/11/2011,4277,4354,4483,4917
NYC,xian,06/03/2011,xian,NYC,06/12/2011,4917,5159,5812,5814
NYC,xian,06/03/2011,xian,NYC,06/13/2011,4917,5159,5812,5814
