airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
NYC,XNN,05/27/2011,Kathmandu,NYC,06/04/2011,2303,2505,2571,2630
NYC,XNN,05/27/2011,Kathmandu,NYC,06/05/2011,2475,2541,2797,2907
NYC,XNN,05/27/2011,Kathmandu,NYC,06/06/2011,2475,2541,2736,3129
NYC,XNN,05/27/2011,Kathmandu,NYC,06/07/2011,2475,2541,2578,2600
NYC,XNN,05/27/2011,Kathmandu,NYC,06/08/2011,2505,2571,3740,3811
NYC,XNN,05/28/2011,Kathmandu,NYC,06/05/2011,2281,2475,3632,3710
NYC,XNN,05/28/2011,Kathmandu,NYC,06/06/2011,2281,2475,3174,3710
NYC,XNN,05/28/2011,Kathmandu,NYC,06/07/2011,2475,2541,3544,3608
NYC,XNN,05/28/2011,Kathmandu,NYC,06/08/2011,2505,2571,3740,3811
NYC,XNN,05/28/2011,Kathmandu,NYC,06/09/2011,2505,2571,3574,3638
NYC,XNN,05/29/2011,Kathmandu,NYC,06/06/2011,2475,2541,3152,3208
NYC,XNN,05/29/2011,Kathmandu,NYC,06/07/2011,2430,2475,2539,2541
NYC,XNN,05/29/2011,Kathmandu,NYC,06/08/2011,2505,2571,3736,3740
NYC,XNN,05/29/2011,Kathmandu,NYC,06/09/2011,2460,2505,2569,2571
NYC,XNN,05/29/2011,Kathmandu,NYC,06/10/2011,2505,2571,2657,2767
NYC,XNN,05/30/2011,Kathmandu,NYC,06/07/2011,2840,2949,3013,3246
NYC,XNN,05/30/2011,Kathmandu,NYC,06/08/2011,3246,3740,3811,3811
NYC,XNN,05/30/2011,Kathmandu,NYC,06/09/2011,2870,2979,3043,3246
NYC,XNN,05/30/2011,Kathmandu,NYC,06/10/2011,3067,3177,3732,3740
NYC,XNN,05/30/2011,Kathmandu,NYC,06/11/2011,2119,2813,2923,2986
NYC,XNN,05/31/2011,Kathmandu,NYC,06/08/2011,2695,2695,3811,3811
NYC,XNN,05/31/2011,Kathmandu,NYC,06/09/2011,2590,2695,2695,2699
NYC,XNN,05/31/2011,Kathmandu,NYC,06/10/2011,2695,2695,2787,2897
NYC,XNN,05/31/2011,Kathmandu,NYC,06/11/2011,2533,2643,2706,2757
NYC,XNN,05/31/2011,Kathmandu,NYC,06/12/2011,2727,2727,2757,3843
NYC,XNN,06/01/2011,Kathmandu,NYC,06/09/2011,2404,2492,3003,3003
NYC,XNN,06/01/2011,Kathmandu,NYC,06/10/2011,2404,2492,3003,3003
NYC,XNN,06/01/2011,Kathmandu,NYC,06/11/2011,2238,2348,2466,2468
NYC,XNN,06/01/2011,Kathmandu,NYC,06/12/2011,2436,2462,3035,3035
NYC,XNN,06/01/2011,Kathmandu,NYC,06/13/2011,2436,3027,3035,3035
NYC,XNN,06/02/2011,Kathmandu,NYC,06/10/2011,2787,2897,3003,3003
NYC,XNN,06/02/2011,Kathmandu,NYC,06/11/2011,2533,2643,2706,2890
NYC,XNN,06/02/2011,Kathmandu,NYC,06/12/2011,2757,3035,3035,3843
