airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
NYC,XNN,07/27/2011,Kathmandu,NYC,08/04/2011,2412,2522,3128,3148
NYC,XNN,07/27/2011,Kathmandu,NYC,08/05/2011,2412,3467,3658,4076
NYC,XNN,07/27/2011,Kathmandu,NYC,08/06/2011,2965,3074,3280,3325
NYC,XNN,07/27/2011,Kathmandu,NYC,08/07/2011,2382,3472,4056,4056
NYC,XNN,07/27/2011,Kathmandu,NYC,08/08/2011,2965,3021,3148,3202
NYC,XNN,07/28/2011,Kathmandu,NYC,08/05/2011,2492,3721,4076,4076
NYC,XNN,07/28/2011,Kathmandu,NYC,08/06/2011,3027,3137,3342,3754
NYC,XNN,07/28/2011,Kathmandu,NYC,08/07/2011,2462,4056,4056,4859
NYC,XNN,07/28/2011,Kathmandu,NYC,08/08/2011,3027,3083,3264,3754
NYC,XNN,07/28/2011,Kathmandu,NYC,08/09/2011,2462,2572,2753,3269
NYC,XNN,07/29/2011,Kathmandu,NYC,08/06/2011,2990,3099,3117,3317
NYC,XNN,07/29/2011,Kathmandu,NYC,08/07/2011,2392,4222,4342,4859
NYC,XNN,07/29/2011,Kathmandu,NYC,08/08/2011,2990,3046,3227,3652
NYC,XNN,07/29/2011,Kathmandu,NYC,08/09/2011,2392,2502,2683,3108
NYC,XNN,07/29/2011,Kathmandu,NYC,08/10/2011,3574,3683,4222,4342
NYC,XNN,07/30/2011,Kathmandu,NYC,08/07/2011,2502,3472,4112,4112
NYC,XNN,07/30/2011,Kathmandu,NYC,08/08/2011,3052,3108,3148,3289
NYC,XNN,07/30/2011,Kathmandu,NYC,08/09/2011,2502,2612,2793,3269
NYC,XNN,07/30/2011,Kathmandu,NYC,08/10/2011,3472,3636,3746,4112
NYC,XNN,07/30/2011,Kathmandu,NYC,08/11/2011,2532,2642,2823,3148
NYC,XNN,07/31/2011,Kathmandu,NYC,08/08/2011,2965,3021,3264,3826
NYC,XNN,07/31/2011,Kathmandu,NYC,08/09/2011,2382,2492,2753,4554
