airport1;airport2;date1;airport3;airport4;date2;price1;price2;price3;;;
NYC;shanghai;05/29/2011;shanghai;NYC;06/06/2011;1022;1031;1096;1107;;sorted by price
NYC;shanghai;05/27/2011;shanghai;NYC;06/06/2011;1029;1031;1107;1262;;
NYC;shanghai;05/27/2011;shanghai;NYC;06/07/2011;1029;1063;1089;1089;;
NYC;shanghai;05/27/2011;shanghai;NYC;06/08/2011;1029;1063;1089;1089;;
NYC;shanghai;05/28/2011;shanghai;NYC;06/06/2011;1029;1031;1115;1262;;
NYC;shanghai;05/28/2011;shanghai;NYC;06/07/2011;1029;1043;1089;1115;;
NYC;shanghai;05/28/2011;shanghai;NYC;06/08/2011;1029;1043;1115;1115;;
NYC;shanghai;05/28/2011;shanghai;NYC;06/09/2011;1029;1043;1279;1304;;
NYC;shanghai;05/29/2011;shanghai;NYC;06/07/2011;1036;1043;1089;1089;;
NYC;shanghai;05/29/2011;shanghai;NYC;06/09/2011;1036;1043;1113;1275;;
NYC;shanghai;05/30/2011;shanghai;NYC;06/07/2011;1039;1063;1326;1381;;
NYC;shanghai;05/30/2011;shanghai;NYC;06/08/2011;1039;1063;1236;1313;;
NYC;shanghai;05/29/2011;shanghai;NYC;06/08/2011;1043;1044;1089;1089;;
NYC;shanghai;05/30/2011;shanghai;NYC;06/09/2011;1063;1229;1326;1425;;
NYC;shanghai;05/28/2011;shanghai;NYC;06/05/2011;1072;1079;1139;1165;;
NYC;shanghai;05/29/2011;shanghai;NYC;06/10/2011;1072;1163;1285;1285;;
NYC;shanghai;05/27/2011;shanghai;NYC;06/04/2011;1079;1088;1232;1232;;
NYC;shanghai;05/27/2011;shanghai;NYC;06/05/2011;1079;1088;1139;1139;;
NYC;shanghai;05/31/2011;shanghai;NYC;06/08/2011;1085;1123;1123;1123;;
NYC;shanghai;05/31/2011;shanghai;NYC;06/09/2011;1085;1168;1301;1301;;
NYC;shanghai;06/01/2011;shanghai;NYC;06/13/2011;1102;1102;1115;1119;;
NYC;shanghai;06/02/2011;shanghai;NYC;06/13/2011;1102;1102;1102;1115;;
NYC;shanghai;06/08/2011;shanghai;NYC;06/20/2011;1102;1113;1115;1119;;
NYC;shanghai;06/02/2011;shanghai;NYC;06/14/2011;1106;1115;1119;1292;;
NYC;shanghai;06/07/2011;shanghai;NYC;06/15/2011;1106;1106;1115;1292;;
NYC;shanghai;06/07/2011;shanghai;NYC;06/16/2011;1106;1106;1115;1316;;
NYC;shanghai;06/08/2011;shanghai;NYC;06/16/2011;1106;1115;1281;1292;;
NYC;shanghai;05/30/2011;shanghai;NYC;06/10/2011;1113;1279;1351;1410;;
NYC;shanghai;06/09/2011;shanghai;NYC;06/21/2011;1113;1115;1115;1119;;
NYC;shanghai;06/09/2011;shanghai;NYC;06/20/2011;1115;1115;1119;1292;;
NYC;shanghai;05/30/2011;shanghai;NYC;06/11/2011;1117;1182;1351;1447;;
NYC;shanghai;06/04/2011;shanghai;NYC;06/14/2011;1124;1124;1131;1318;;
NYC;shanghai;06/04/2011;shanghai;NYC;06/16/2011;1124;1124;1131;1431;;
NYC;shanghai;06/05/2011;shanghai;NYC;06/14/2011;1131;1141;1149;1318;;
NYC;shanghai;06/05/2011;shanghai;NYC;06/16/2011;1131;1141;1149;1393;;
NYC;shanghai;06/07/2011;shanghai;NYC;06/17/2011;1131;1131;1140;1342;;
NYC;shanghai;06/07/2011;shanghai;NYC;06/19/2011;1131;1131;1140;1396;;
NYC;shanghai;06/08/2011;shanghai;NYC;06/17/2011;1131;1139;1140;1145;;
NYC;shanghai;06/08/2011;shanghai;NYC;06/18/2011;1131;1139;1140;1145;;
NYC;shanghai;06/08/2011;shanghai;NYC;06/19/2011;1131;1139;1140;1145;;
NYC;shanghai;06/10/2011;shanghai;NYC;06/20/2011;1131;1131;1139;1141;;
NYC;shanghai;06/10/2011;shanghai;NYC;06/21/2011;1131;1131;1139;1141;;
NYC;shanghai;06/10/2011;shanghai;NYC;06/22/2011;1131;1131;1139;1141;;
NYC;shanghai;06/01/2011;shanghai;NYC;06/09/2011;1133;1138;1281;1281;;
NYC;shanghai;05/31/2011;shanghai;NYC;06/10/2011;1135;1218;1332;1332;;
NYC;shanghai;06/04/2011;shanghai;NYC;06/13/2011;1135;1142;1142;1311;;
NYC;shanghai;06/04/2011;shanghai;NYC;06/15/2011;1135;1142;1142;1318;;
NYC;shanghai;06/09/2011;shanghai;NYC;06/17/2011;1139;1140;1140;1145;;
NYC;shanghai;06/09/2011;shanghai;NYC;06/19/2011;1139;1140;1140;1145;;
NYC;shanghai;06/02/2011;shanghai;NYC;06/10/2011;1140;1145;1427;1441;;
NYC;shanghai;06/02/2011;shanghai;NYC;06/12/2011;1140;1145;1318;1318;;
NYC;shanghai;06/09/2011;shanghai;NYC;06/18/2011;1140;1140;1145;1507;;
NYC;shanghai;06/03/2011;shanghai;NYC;06/14/2011;1141;1153;1445;1445;;
NYC;shanghai;06/03/2011;shanghai;NYC;06/15/2011;1141;1153;1318;1445;;
NYC;shanghai;06/05/2011;shanghai;NYC;06/13/2011;1141;1318;1318;1393;;
NYC;shanghai;06/05/2011;shanghai;NYC;06/15/2011;1141;1149;1318;1417;;
NYC;shanghai;06/07/2011;shanghai;NYC;06/18/2011;1142;1142;1142;1149;;
NYC;shanghai;05/31/2011;shanghai;NYC;06/12/2011;1143;1143;1212;1338;;
NYC;shanghai;06/01/2011;shanghai;NYC;06/10/2011;1145;1445;1445;1445;;
NYC;shanghai;06/01/2011;shanghai;NYC;06/11/2011;1145;1507;1527;1527;;
NYC;shanghai;06/01/2011;shanghai;NYC;06/12/2011;1145;1318;1325;1426;;
NYC;shanghai;06/02/2011;shanghai;NYC;06/11/2011;1145;1507;1607;1616;;
NYC;shanghai;06/04/2011;shanghai;NYC;06/12/2011;1149;1149;1156;1344;;
NYC;shanghai;06/03/2011;shanghai;NYC;06/13/2011;1153;1318;1431;1445;;
NYC;shanghai;06/10/2011;shanghai;NYC;06/18/2011;1156;1156;1165;1166;;
NYC;shanghai;06/10/2011;shanghai;NYC;06/19/2011;1156;1156;1165;1166;;
NYC;shanghai;06/03/2011;shanghai;NYC;06/12/2011;1166;1344;1375;1471;;
NYC;shanghai;06/05/2011;shanghai;NYC;06/17/2011;1166;1174;1318;1446;;
NYC;shanghai;05/31/2011;shanghai;NYC;06/11/2011;1218;1332;1338;1427;;
NYC;shanghai;06/06/2011;shanghai;NYC;06/14/2011;1292;1306;1370;1393;;
NYC;shanghai;06/06/2011;shanghai;NYC;06/15/2011;1292;1306;1370;1400;;
NYC;shanghai;06/06/2011;shanghai;NYC;06/16/2011;1306;1370;1386;1402;;
NYC;shanghai;06/14/2011;shanghai;NYC;06/22/2011;1323;1323;1323;1323;;
NYC;shanghai;06/06/2011;shanghai;NYC;06/17/2011;1332;1396;1427;1427;;
NYC;shanghai;06/06/2011;shanghai;NYC;06/18/2011;1332;1396;1427;1427;;
NYC;shanghai;06/15/2011;shanghai;NYC;06/23/2011;1393;1502;1502;1513;;
NYC;shanghai;06/13/2011;shanghai;NYC;06/21/2011;1420;1420;1420;1502;;
NYC;shanghai;06/13/2011;shanghai;NYC;06/22/2011;1420;1420;1513;1531;;
NYC;shanghai;06/12/2011;shanghai;NYC;06/20/2011;1424;1438;1445;1445;;
NYC;shanghai;06/12/2011;shanghai;NYC;06/21/2011;1424;1445;1445;1527;;
NYC;shanghai;06/12/2011;shanghai;NYC;06/22/2011;1424;1445;1445;1493;;
NYC;shanghai;06/11/2011;shanghai;NYC;06/20/2011;1438;1445;1445;1470;;
NYC;shanghai;06/11/2011;shanghai;NYC;06/21/2011;1445;1445;1470;1527;;
NYC;shanghai;06/11/2011;shanghai;NYC;06/22/2011;1445;1493;1539;1618;;
NYC;shanghai;06/13/2011;shanghai;NYC;06/23/2011;1502;1502;1513;1516;;
NYC;shanghai;06/14/2011;shanghai;NYC;06/23/2011;1502;1502;1511;1511;;
NYC;shanghai;06/03/2011;shanghai;NYC;06/11/2011;1521;1533;1619;1654;;
NYC;shanghai;06/11/2011;shanghai;NYC;06/23/2011;1527;1527;1541;1541;;
NYC;shanghai;06/12/2011;shanghai;NYC;06/23/2011;1527;1600;1635;1635;;
NYC;shanghai;06/11/2011;shanghai;NYC;06/19/2011;1552;1594;1594;1661;;
